139,542
139,539
141,537
144,537
146,535
146,532
146,529
148,527
150,525
152,523
152,520
152,517
154,515
156,513
158,511
161,511
163,509
165,507
165,504
167,502
170,502
172,500
174,498
176,496
176,493
178,491
178,488
180,486
182,484
182,481
184,479
186,477
188,475
188,472
188,469
190,467
192,465
192,462
192,459
194,457
196,455
198,453
198,450
200,448
200,445
200,442
202,440
202,437
202,434
202,431
202,428
204,426
204,423
204,420
204,417
204,414
204,411
204,408
206,406
208,404
211,404
213,402
216,402
218,400
220,398
222,396
222,393
224,391
226,389
226,386
228,384
230,382
232,380
234,378
236,376
238,374
240,372
243,372
243,369
245,367
245,364
247,362
247,359
249,357
252,357
254,355
256,353
256,350
258,348
260,346
263,346
265,344
265,341
265,338
267,336
269,334
271,332
273,330
275,328
277,326
279,324
281,322
283,320
285,318
285,315
285,312
287,310
290,310
292,308
295,308
297,306
299,304
301,302
301,299
303,297
306,297
308,295
310,293
310,290
310,287
307,287
309,289
307,291
305,293
305,296
302,296
300,298
297,298
294,298
291,298
293,300
295,302
295,305
292,305
294,303
291,303
291,306
291,309
291,306
291,303
293,301
290,301
290,298
290,295
287,295
285,297
287,295
290,295
287,295
289,293
286,293
283,293
283,290
281,292
281,289
283,287
286,287
286,290
286,293
288,295
290,293
287,293
289,291
289,294
286,294
286,291
289,291
291,293
288,293
285,293
283,295
285,293
282,293
282,290
282,287
284,289
284,292
282,294
284,296
287,296
287,299
289,301
286,301
288,299
288,296
290,298
290,301
292,299
294,301
297,301
294,301
294,298
297,298
297,295
297,298
300,298
303,298
303,301
305,299
302,299
